produk;merek;tipe;ukuran;harga
AKARI LE-40P88;AKARI;LED;40;2999000
LG 49UH770T;LG;LED, Smart TV;49;12975000
Samsung QA65Q7F;Samsung;QLED, Smart TV;65;27495000
LG 43UM7100PTA;LG;LED, Smart TV;43;4699000
LG 49UF680T;LG;LED, Smart TV;49;13999000
LG 49UF670T;LG;LED;49;12990000
LG 55UF680T;LG;LCD, Smart TV;55;19999000
Samsung LA-B530;Samsung;LCD;46;20100000
LG 79UF770T;LG;LED, Smart TV;79;64999000
LG 28TK430V-PT;LG;LED;28;1649000
LG 43LM5700PTC;LG;LED, Smart TV;43;4075800
TOSHIBA Regza 40PU200T;TOSHIBA;LED;40;4475000
LG 43UM7300PTA;LG;LED, Smart TV;43;4900000
LG 55LF550T;LG;LED;55;9399000
Samsung UA49KS7000;Samsung;LED, Smart TV;49;14978930
LG 60UB820T;LG;LED, Smart TV;60;18599000
LG 28TL430V-PT;LG;LED;28;1649000
Sharp AQUOS LC-40LE600M;Sharp;LCD;40;4723000
LG 65UF670T;LG;LED;65;31250000
LG 43LK5400PTA;LG;LED, Smart TV;43;4360500
LG 55LH575T;LG;LED, Smart TV;55;9000000
Samsung UA48H8000AK;Samsung;LED;48;18500000
Panasonic VIERA TH-32E302;Panasonic;LED;32;1370000
LG 32LJ500D;LG;LED;32;1859000
Panasonic VIERA TH-43F305G;Panasonic;LED;43;3199000
Sony BRAVIA KDL-40W650D;Sony;LED, Smart TV;40;4313000
LG 43LJ550T;LG;LED, Smart TV;43;4099000
Panasonic VIERA TH-40F305G;Panasonic;LED;40;2809000
Sony BRAVIA KLV-32R302C;Sony;LED;32;2634000
Panasonic VIERA TH-55E306;Panasonic;LED;55;7685000
Panasonic VIERA TH-24E303;Panasonic;LED;24;1499000
Sony BRAVIA KDL-48W650D;Sony;LED, Smart TV;48;5356000
Sony BRAVIA KDL-55W650D;Sony;LED, Smart TV;55;7899000
Sony BRAVIA KLV-40R352C;Sony;LED;40;3799000
Panasonic VIERA TH-43EX400;Panasonic;LED, Smart TV;43;4899000
Panasonic VIERA TH-49EX400;Panasonic;LED, Smart TV;49;7499000
LG 49LF540T;LG;LED;49;6789000
Sony BRAVIA KD-55X8000E;Sony;LED, Smart TV;55;8288000
Sony BRAVIA KD-43X8000E;Sony;LED, Smart TV;43;6995000
Panasonic VIERA TH-49FX700G;Panasonic;LED, Smart TV;49;11399000
Sony BRAVIA KD-75X8500F;Sony;LED, Smart TV;75;29099000
LG 32LF520A;LG;LED;32;2599000
LG 86SJ957T;LG;LED, Smart TV;86;102500000
Sony BRAVIA KD-49X8000E;Sony;LED, Smart TV;49;7138000
Sony BRAVIA KD-55X8500D;Sony;LED, Smart TV;55;10590000
Sony Bravia KDL-40EX650;Sony;LED;40;4799000
Panasonic VIERA TH-43E306;Panasonic;LED;43;4299000
Panasonic VIERA TH-43ES630G;Panasonic;LED, Smart TV;43;5999000
Panasonic VIERA TH-43EX600G;Panasonic;LED, Smart TV;43;5999000
Philips 49PFA4300S/70;Philips;LED;49;3800000
Samsung UA40M5000;Samsung;LED;40;3775000
Sony BRAVIA KDL-55HX750;Sony;LED;55;9775000
Panasonic VIERA TH-32E305;Panasonic;LED;32;1990000
LG 49LJ510T;LG;LED;49;5099000
Panasonic VIERA TH-55EX400;Panasonic;LED, Smart TV;55;11999000
Panasonic VIERA TH-55EX600G;Panasonic;LED, Smart TV;55;9499000
